,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
1417,BiLSTM,brute,hands,False,sadness,False,4,66,0.7134502923976608,,0.10815602836879433,,0.18783679753656657,,[0.47952639],
1418,BiLSTM,brute,hands,False,sadness,False,5,66,0.6503378378378378,,0.1650943396226415,,0.2633378932968536,,[0.63154294],
1419,BiLSTM,brute,hands,False,sadness,False,6,66,0.0,,0.0,,0.0,,[0.78939828],
1420,BiLSTM,brute,hands,False,sadness,False,7,66,0.06096997690531178,,0.28820960698689957,,0.10064811284788411,,[0.41201396],
1421,BiLSTM,brute,hands,False,sadness,False,average,66,0.2937806955978261,0.29304696296289784,0.10902473914503544,0.09711515851672543,0.12700814241063174,0.10869499302733437,0.6730439897015115,0.16777051135014945
1422,BiLSTM,brute,head,False,anger,False,0,38,0.10979228486646884,,0.03978494623655914,,0.058405682715074986,,[0.62834891],
1423,BiLSTM,brute,head,False,anger,False,1,38,0.2692307692307692,,0.23648648648648649,,0.2517985611510791,,[0.56864372],
1424,BiLSTM,brute,head,False,anger,False,2,38,0.2907801418439716,,0.06655844155844155,,0.1083223249669749,,[0.47795824],
1425,BiLSTM,brute,head,False,anger,False,3,38,0.18156161806208843,,0.3097913322632424,,0.22894424673784106,,[0.65370272],
1426,BiLSTM,brute,head,False,anger,False,4,38,0.10939597315436242,,0.12714508580343215,,0.11760461760461761,,[0.39664529],
1427,BiLSTM,brute,head,False,anger,False,5,38,0.23581757508342602,,0.527363184079602,,0.32590315142198306,,[0.69996579],
1428,BiLSTM,brute,head,False,anger,False,6,38,0.3739565943238731,,0.9256198347107438,,0.5326991676575505,,[0.71848138],
1429,BiLSTM,brute,head,False,anger,False,7,38,0.22043010752688172,,0.029078014184397163,,0.05137844611528822,,[0.24526421],
1430,BiLSTM,brute,head,False,anger,False,average,38,0.22387063301148016,0.0845008555906895,0.2827284156653631,0.2894654447887762,0.2093820247963012,0.15276130606536217,0.5486262799539458,0.15397751237798007
1431,BiLSTM,brute,hands,False,anger,False,0,38,0.15455840455840456,,0.23333333333333334,,0.18594687232219365,,[0.40809969],
1432,BiLSTM,brute,hands,False,anger,False,1,38,0.30902111324376197,,0.21756756756756757,,0.25535289452815224,,[0.61053505],
1433,BiLSTM,brute,hands,False,anger,False,2,38,0.5252525252525253,,0.04220779220779221,,0.07813673929376408,,[0.52552204],
1434,BiLSTM,brute,hands,False,anger,False,3,38,0.055916775032509754,,0.06902086677367576,,0.0617816091954023,,[0.65210442],
1435,BiLSTM,brute,hands,False,anger,False,4,38,0.36278195488721804,,0.15054602184087362,,0.21278941565600884,,[0.6477553],
1436,BiLSTM,brute,hands,False,anger,False,5,38,0.07929515418502203,,0.11194029850746269,,0.09283135636926251,,[0.6991105],
1437,BiLSTM,brute,hands,False,anger,False,6,38,0.09615384615384616,,0.12396694214876033,,0.10830324909747292,,[0.64613181],
1438,BiLSTM,brute,hands,False,anger,False,7,38,0.18493150684931506,,0.009574468085106383,,0.018206338503034387,,[0.27417747],
1439,BiLSTM,brute,hands,False,anger,False,average,38,0.2209889100203254,0.15372628096442492,0.11976966130807148,0.07434842199320406,0.12666855937066138,0.07689467352780023,0.5579295348689564,0.13758228829113864
1440,BiLSTM,brute,full-head,False,anger,False,0,38,0.28953922789539227,,0.5,,0.36671924290220814,,[0.49968847],
1441,BiLSTM,brute,full-head,False,anger,False,1,38,0.38818973862536305,,0.27094594594594595,,0.3191404695582969,,[0.64516798],
1442,BiLSTM,brute,full-head,False,anger,False,2,38,0.6774193548387096,,0.20454545454545456,,0.31421446384039897,,[0.57463264],
1443,BiLSTM,brute,full-head,False,anger,False,3,38,0.12048192771084337,,0.2086677367576244,,0.1527614571092832,,[0.6158764],
1444,BiLSTM,brute,full-head,False,anger,False,4,38,0.3468950749464668,,0.5054602184087363,,0.41142857142857137,,[0.5426739],
1445,BiLSTM,brute,full-head,False,anger,False,5,38,0.22963483146067415,,0.40671641791044777,,0.29353680430879714,,[0.73075607],
1446,BiLSTM,brute,full-head,False,anger,False,6,38,0.1825242718446602,,0.3884297520661157,,0.24834874504623514,,[0.59240688],
1447,BiLSTM,brute,full-head,False,anger,False,7,38,0.5288844621513944,,0.18829787234042553,,0.2777196652719665,,[0.3115653],
1448,BiLSTM,brute,full-head,False,anger,False,average,38,0.345446111184188,0.17297948649361408,0.33413292474684375,0.12393361114627476,0.29798367743321963,0.07270565218116469,0.5640959556403617,0.11528278816930587
1449,BiLSTM,brute,full-hh,False,anger,False,0,38,0.30678851174934724,,0.5053763440860215,,0.38180341186027617,,[0.5258567],
1450,BiLSTM,brute,full-hh,False,anger,False,1,38,0.43293347873500543,,0.2682432432432432,,0.3312473925740509,,[0.66756533],
1451,BiLSTM,brute,full-hh,False,anger,False,2,38,0.5572139303482587,,0.18181818181818182,,0.27417380660954715,,[0.54137664],
1452,BiLSTM,brute,full-hh,False,anger,False,3,38,0.21642764015645372,,0.2664526484751204,,0.23884892086330936,,[0.71816729],
1453,BiLSTM,brute,full-hh,False,anger,False,4,38,0.3297571993224167,,0.45553822152886114,,0.38257451686865374,,[0.53502713],
1454,BiLSTM,brute,full-hh,False,anger,False,5,38,0.12334070796460177,,0.277363184079602,,0.17075038284839203,,[0.62949025],
1455,BiLSTM,brute,full-hh,False,anger,False,6,38,0.18316831683168316,,0.45867768595041325,,0.26179245283018865,,[0.55157593],
1456,BiLSTM,brute,full-hh,False,anger,False,7,38,0.6278846153846154,,0.23156028368794326,,0.3383419689119171,,[0.36340977],
1457,BiLSTM,brute,full-hh,False,anger,False,average,38,0.34718930006154775,0.1681881603312233,0.3306287241086733,0.11475109907293259,0.2974416066707919,0.06935075619502176,0.5665586300574521,0.10119713549385517
1458,BiLSTM,brute,full,False,anger,False,0,38,0.24410933081998115,,0.278494623655914,,0.26017076845806125,,[0.5411215],
1459,BiLSTM,brute,full,False,anger,False,1,38,0.3889479277364506,,0.2472972972972973,,0.3023543990086741,,[0.6497304],
1460,BiLSTM,brute,full,False,anger,False,2,38,0.7867950481430537,,0.4642857142857143,,0.5839714139867279,,[0.68484145],
1461,BiLSTM,brute,full,False,anger,False,3,38,0.16910785619174434,,0.40770465489566615,,0.2390588235294118,,[0.56925946],
1462,BiLSTM,brute,full,False,anger,False,4,38,0.3674911660777385,,0.40561622464898595,,0.3856136447905079,,[0.59126788],
1463,BiLSTM,brute,full,False,anger,False,5,38,0.15570469798657718,,0.43283582089552236,,0.22902270483711748,,[0.59921314],
1464,BiLSTM,brute,full,False,anger,False,6,38,0.24681528662420382,,0.640495867768595,,0.3563218390804598,,[0.59885387],
1465,BiLSTM,brute,full,False,anger,False,7,38,0.5679245283018868,,0.21347517730496454,,0.31030927835051547,,[0.333001],
1466,BiLSTM,brute,full,False,anger,False,average,38,0.36586198023520455,0.2032312807239668,0.38627567259408246,0.12966607804661648,0.3333528590051844,0.10764066354140087,0.5709110867719801,0.09917167929645951
1467,BiLSTM,brute,head,False,surprise,False,0,98,0.544891640866873,,0.28805237315875615,,0.3768736616702355,,[0.81869159],
1468,BiLSTM,brute,head,False,surprise,False,1,98,0.4909090909090909,,0.3450479233226837,,0.4052532833020638,,[0.73703857],
1469,BiLSTM,brute,head,False,surprise,False,2,98,0.2702702702702703,,0.3358208955223881,,0.29950083194675536,,[0.83720031],
1470,BiLSTM,brute,head,False,surprise,False,3,98,0.5538847117794486,,0.1229827490261547,,0.20127504553734063,,[0.53276505],
1471,BiLSTM,brute,head,False,surprise,False,4,98,0.0,,0.0,,0.0,,[0.87789837],
1472,BiLSTM,brute,head,False,surprise,False,5,98,0.252442996742671,,0.6828193832599119,,0.3686087990487515,,[0.81833732],
1473,BiLSTM,brute,head,False,surprise,False,6,98,0.43410852713178294,,0.1686746987951807,,0.2429501084598698,,[0.75],
1474,BiLSTM,brute,head,False,surprise,False,7,98,0.02276707530647986,,0.1,,0.037089871611982884,,[0.83175474],
1475,BiLSTM,brute,head,False,surprise,False,average,98,0.3211592891258271,0.20775064274126073,0.2554247528856344,0.19770296487874459,0.24144395019712495,0.1442167572611518,0.7754607442999126,0.10137015984816775
1476,BiLSTM,brute,full,False,surprise,False,0,98,0.07932692307692307,,0.054009819967266774,,0.06426484907497565,,[0.70062305],
1477,BiLSTM,brute,full,False,surprise,False,1,98,0.2938271604938272,,0.0950479233226837,,0.14363307181653592,,[0.70572377],
1478,BiLSTM,brute,full,False,surprise,False,2,98,0.22140221402214022,,0.44776119402985076,,0.2962962962962963,,[0.77958237],
1479,BiLSTM,brute,full,False,surprise,False,3,98,0.5524691358024691,,0.09961046188091263,,0.1687883074021688,,[0.53036761],
1480,BiLSTM,brute,full,False,surprise,False,4,98,0.0,,0.0,,0.0,,[0.89220523],
1481,BiLSTM,brute,full,False,surprise,False,5,98,0.1851063829787234,,0.3832599118942731,,0.24964131994261116,,[0.82107424],
1482,BiLSTM,brute,full,False,surprise,False,6,98,0.43703703703703706,,0.17771084337349397,,0.2526766595289079,,[0.75],
1483,BiLSTM,brute,full,False,surprise,False,7,98,0.014925373134328358,,0.038461538461538464,,0.02150537634408602,,[0.88659023],
