,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
346,BiLSTM,deltas-noatt,full,True,sadness,4,61,0.7797716150081566,,0.21187943262411346,,0.33321714883234577,,[0.52812037],
347,BiLSTM,deltas-noatt,full,True,sadness,5,61,0.4663009404388715,,0.25514579759862777,,0.32982261640798227,,[0.58638385],
348,BiLSTM,deltas-noatt,full,True,sadness,6,61,0.0,,0.0,,0.0,,[0.9226361],
349,BiLSTM,deltas-noatt,full,True,sadness,7,61,0.07021131561008861,,0.22489082969432314,,0.10701298701298702,,[0.57153539],
350,BiLSTM,deltas-noatt,full,True,sadness,average,61,0.26095209808691266,0.27040254620410037,0.16277294775281026,0.14386003972336509,0.17905357706120556,0.1623223294026764,0.6807340421700743,0.14225749380353792
351,BiLSTM,deltas-noatt,head,True,surprise,0,52,0.7299270072992701,,0.32733224222585927,,0.4519774011299435,,[0.84890966],
352,BiLSTM,deltas-noatt,head,True,surprise,1,52,0.5316698656429942,,0.22124600638977635,,0.3124647490129724,,[0.74720033],
353,BiLSTM,deltas-noatt,head,True,surprise,2,52,0.23529411764705882,,0.13432835820895522,,0.17102137767220904,,[0.86504254],
354,BiLSTM,deltas-noatt,head,True,surprise,3,52,0.476027397260274,,0.0773511407902059,,0.13307802776448063,,[0.51758125],
355,BiLSTM,deltas-noatt,head,True,surprise,4,52,0.0,,0.0,,0.0,,[0.97237296],
356,BiLSTM,deltas-noatt,head,True,surprise,5,52,0.2548148148148148,,0.3788546255506608,,0.3046944198405669,,[0.86572015],
357,BiLSTM,deltas-noatt,head,True,surprise,6,52,0.4166666666666667,,0.12048192771084337,,0.18691588785046728,,[0.75071633],
358,BiLSTM,deltas-noatt,head,True,surprise,7,52,0.009560229445506692,,0.038461538461538464,,0.015313935681470138,,[0.83973081],
359,BiLSTM,deltas-noatt,head,True,surprise,average,52,0.33174501234707315,0.23864899957086538,0.16225697991722993,0.12699945415074185,0.19693322486901374,0.14431954925745075,0.8009092534998155,0.1260967999327448
360,BiLSTM,deltas-noatt,hands,True,surprise,0,52,0.95,,0.062193126022913256,,0.11674347158218126,,[0.82087227],
361,BiLSTM,deltas-noatt,hands,True,surprise,1,52,0.06451612903225806,,0.001597444089456869,,0.003117692907248636,,[0.73475736],
362,BiLSTM,deltas-noatt,hands,True,surprise,2,52,0.25957446808510637,,0.22761194029850745,,0.24254473161033796,,[0.85266821],
363,BiLSTM,deltas-noatt,hands,True,surprise,3,52,0.603448275862069,,0.038953811908736785,,0.07318348144276007,,[0.52770378],
364,BiLSTM,deltas-noatt,hands,True,surprise,4,52,0.0,,0.0,,0.0,,[0.95855945],
365,BiLSTM,deltas-noatt,hands,True,surprise,5,52,0.0,,0.0,,0.0,,[0.90455012],
366,BiLSTM,deltas-noatt,hands,True,surprise,6,52,0.26732673267326734,,0.08132530120481928,,0.12471131639722864,,[0.72851003],
367,BiLSTM,deltas-noatt,hands,True,surprise,7,52,0.0,,0.0,,0.0,,[0.9670987],
368,BiLSTM,deltas-noatt,hands,True,surprise,average,52,0.2681082007065876,0.32299353336031555,0.0514602029405542,0.07299290744944323,0.07003758674246957,0.08225974937507045,0.8118399915079475,0.13674545691738949
369,BiLSTM,deltas-noatt,full,True,surprise,0,52,0.19402985074626866,,0.1702127659574468,,0.18134263295553615,,[0.70747664],
370,BiLSTM,deltas-noatt,full,True,surprise,1,52,0.4451219512195122,,0.2915335463258786,,0.35231660231660233,,[0.72169224],
371,BiLSTM,deltas-noatt,full,True,surprise,2,52,0.19584569732937684,,0.2462686567164179,,0.21818181818181817,,[0.81709203],
372,BiLSTM,deltas-noatt,full,True,surprise,3,52,0.5255474452554745,,0.08013355592654424,,0.13906325446644133,,[0.52503996],
373,BiLSTM,deltas-noatt,full,True,surprise,4,52,0.0,,0.0,,0.0,,[0.85199803],
374,BiLSTM,deltas-noatt,full,True,surprise,5,52,0.16771866546438233,,0.40969162995594716,,0.23800383877159306,,[0.79627095],
375,BiLSTM,deltas-noatt,full,True,surprise,6,52,0.5272727272727272,,0.1746987951807229,,0.26244343891402716,,[0.76647564],
376,BiLSTM,deltas-noatt,full,True,surprise,7,52,0.004545454545454545,,0.015384615384615385,,0.007017543859649122,,[0.85892323],
377,BiLSTM,deltas-noatt,full,True,surprise,average,52,0.2575102239791496,0.20186982377652896,0.17349044568094663,0.13174119588139027,0.1747961411832084,0.11461682760595171,0.7556210908689727,0.10133204683581179
378,BiLSTM,deltas-noatt,full-hh,True,surprise,0,52,0.0918918918918919,,0.027823240589198037,,0.042713567839195984,,[0.76261682],
379,BiLSTM,deltas-noatt,full-hh,True,surprise,1,52,0.4265842349304482,,0.22044728434504793,,0.29067930489731436,,[0.72065533],
380,BiLSTM,deltas-noatt,full-hh,True,surprise,2,52,0.24313725490196078,,0.23134328358208955,,0.23709369024856594,,[0.84570766],
381,BiLSTM,deltas-noatt,full-hh,True,surprise,3,52,0.4557377049180328,,0.0773511407902059,,0.13225499524262607,,[0.51411827],
382,BiLSTM,deltas-noatt,full-hh,True,surprise,4,52,0.0,,0.0,,0.0,,[0.92155895],
383,BiLSTM,deltas-noatt,full-hh,True,surprise,5,52,0.018906144496961513,,0.06167400881057269,,0.0289405684754522,,[0.67858365],
384,BiLSTM,deltas-noatt,full-hh,True,surprise,6,52,0.3373493975903614,,0.1686746987951807,,0.2248995983935743,,[0.7234957],
385,BiLSTM,deltas-noatt,full-hh,True,surprise,7,52,0.021739130434782608,,0.1,,0.03571428571428571,,[0.82502493],
386,BiLSTM,deltas-noatt,full-hh,True,surprise,average,52,0.1994182198955549,0.17808861783806154,0.11091420711403685,0.08117357820637205,0.12403700135137682,0.10585082860260987,0.7489701638637365,0.11547507365846335
387,BiLSTM,deltas-noatt,full-head,True,surprise,0,52,0.3384615384615385,,0.07201309328968904,,0.11875843454790824,,[0.79657321],
388,BiLSTM,deltas-noatt,full-head,True,surprise,1,52,0.42634315424610053,,0.1964856230031949,,0.2689994532531438,,[0.72272916],
389,BiLSTM,deltas-noatt,full-head,True,surprise,2,52,0.18282548476454294,,0.2462686567164179,,0.20985691573926868,,[0.80781129],
390,BiLSTM,deltas-noatt,full-head,True,surprise,3,52,0.6345029239766082,,0.12075681691708402,,0.20289855072463767,,[0.54581779],
391,BiLSTM,deltas-noatt,full-head,True,surprise,4,52,0.0,,0.0,,0.0,,[0.90552541],
392,BiLSTM,deltas-noatt,full-head,True,surprise,5,52,0.10911808669656203,,0.32158590308370044,,0.16294642857142858,,[0.7434143],
393,BiLSTM,deltas-noatt,full-head,True,surprise,6,52,0.5339805825242718,,0.16566265060240964,,0.2528735632183908,,[0.76719198],
394,BiLSTM,deltas-noatt,full-head,True,surprise,7,52,0.0330188679245283,,0.16153846153846155,,0.05483028720626632,,[0.81954138],
395,BiLSTM,deltas-noatt,full-head,True,surprise,average,52,0.28228132982426907,0.22164557526092074,0.16053890064386966,0.09340591404483463,0.1588954541576305,0.08887690485645759,0.7635755641253299,0.09736144276350576
396,JointBiLSTM,brute,full,True,anger,0,52,0.6824512534818942,,0.7903225806451613,,0.7324364723467861,,[0.83271028],
397,JointBiLSTM,brute,full,True,anger,1,52,0.5386503067484663,,0.29662162162162165,,0.3825708061002179,,[0.70613853],
398,JointBiLSTM,brute,full,True,anger,2,52,0.7582697201017812,,0.2418831168831169,,0.3667692307692308,,[0.60208817],
399,JointBiLSTM,brute,full,True,anger,3,52,0.4601542416452442,,0.8619582664526485,,0.6,,[0.80927011],
400,JointBiLSTM,brute,full,True,anger,4,52,0.44738389182833627,,0.593603744149766,,0.5102246061012403,,[0.63961519],
401,JointBiLSTM,brute,full,True,anger,5,52,0.3318777292576419,,0.6616915422885572,,0.44204403822185295,,[0.77027027],
